measurement_interval,initial_history_months,section,scope,evaluation_scope,n_full_features,n_without_lithology,mae_full_features,mae_without_lithology,mae_abs_diff,mae_rel_diff,rmse_full_features,rmse_without_lithology,rmse_abs_diff,rmse_rel_diff,mean_signed_error_full_features,mean_signed_error_without_lithology,mean_signed_error_abs_diff,mean_signed_error_rel_diff,coverage_90_full_features,coverage_90_without_lithology,coverage_90_abs_diff,mean_width_90_full_features,mean_width_90_without_lithology,mean_width_90_abs_diff
6,96,S1,monthly,shared_period,78,78,0.1843955275369568,0.1841878114073272,-0.00020771612962958153,-0.0011264705408212832,0.22157759342300473,0.2213146408333757,-0.000262952589629023,-0.0011867291523788282,0.056064106327505546,0.056283703678512306,0.0002195973510067603,0.00391689737679853,0.8461538461538461,0.8461538461538461,0.0,0.7101087443280497,0.7093191414484681,-0.0007896028795816301
6,96,S1,endpoint,shared_period,13,13,1.0169620825494055,1.0162858607860572,-0.0006762217633482503,-0.0006649429462040917,1.1357279490808911,1.1350133045994344,-0.0007146444814567499,-0.0006292391430844764,0.33638463796503326,0.33770222207107403,0.00131758410604077,0.003916897376799148,,,,,,
6,96,S2,monthly,full_period,78,78,0.20741406056060038,0.2073017033769019,-0.00011235718369848047,-0.000541704759044785,0.24668181017257212,0.24655292614317414,-0.00012888402939797983,-0.0005224707460506145,0.04661858116248388,0.046678699191854564,6.0118029370684334e-05,0.0012895722664992661,0.8974358974358975,0.8974358974358975,0.0,0.7168177891503164,0.7164268335102616,-0.0003909556400547576
6,96,S2,endpoint,full_period,13,13,1.0888403310830628,1.0885262037003747,-0.0003141273826881008,-0.00028849719625616754,1.2189863871820223,1.218651141679091,-0.00033524550293129174,-0.0002750198906702245,0.27971148697490295,0.2800721951511274,0.0003607081762244668,0.0012895722665005576,,,,,,
6,96,S2,monthly,shared_period,78,78,0.20741406056060038,0.2073017033769019,-0.00011235718369848047,-0.000541704759044785,0.24668181017257212,0.24655292614317414,-0.00012888402939797983,-0.0005224707460506145,0.04661858116248388,0.046678699191854564,6.0118029370684334e-05,0.0012895722664992661,0.8974358974358975,0.8974358974358975,0.0,0.7168177891503164,0.7164268335102616,-0.0003909556400547576
6,96,S2,endpoint,shared_period,13,13,1.0888403310830628,1.0885262037003747,-0.0003141273826881008,-0.00028849719625616754,1.2189863871820223,1.218651141679091,-0.00033524550293129174,-0.0002750198906702245,0.27971148697490295,0.2800721951511274,0.0003607081762244668,0.0012895722665005576,,,,,,
6,96,S3,monthly,full_period,78,78,0.17332984604338486,0.17360973546095693,0.00027988941757206565,0.001614779127548574,0.28333600773785217,0.2834164899665577,8.048222870554733e-05,0.00028405224365274113,-0.0438547045150383,-0.04367132877847194,0.00018337573656635603,0.004181438196749777,0.7564102564102564,0.7564102564102564,0.0,0.5188111659494081,0.5179090683303971,-0.0009020976190110552
6,96,S3,endpoint,full_period,13,13,0.948829911385586,0.9498718693230478,0.0010419579374617571,0.0010981503902424148,1.1075721115952166,1.1082228815285093,0.0006507699332927164,0.0005875643910493773,-0.2631282270902297,-0.26202797267083167,0.001100254419398039,0.004181438196749408,,,,,,
6,96,S3,monthly,shared_period,78,78,0.17332984604338486,0.17360973546095693,0.00027988941757206565,0.001614779127548574,0.28333600773785217,0.2834164899665577,8.048222870554733e-05,0.00028405224365274113,-0.0438547045150383,-0.04367132877847194,0.00018337573656635603,0.004181438196749777,0.7564102564102564,0.7564102564102564,0.0,0.5188111659494081,0.5179090683303971,-0.0009020976190110552
6,96,S3,endpoint,shared_period,13,13,0.948829911385586,0.9498718693230478,0.0010419579374617571,0.0010981503902424148,1.1075721115952166,1.1082228815285093,0.0006507699332927164,0.0005875643910493773,-0.2631282270902297,-0.26202797267083167,0.001100254419398039,0.004181438196749408,,,,,,
6,96,S4,monthly,full_period,78,78,0.27662644026323224,0.27639939864294005,-0.00022704162029218988,-0.0008207516970400283,0.32230519232954885,0.32189851288341176,-0.0004066794461370926,-0.001261783724915214,0.1588983111232472,0.15866603369879706,-0.00023227742445014465,-0.001461799202321175,1.0,1.0,0.0,2.4659319107496693,2.4652711262280107,-0.0006607845216586306
6,96,S4,endpoint,full_period,13,13,1.1819172171380217,1.1809719776948184,-0.0009452394432032385,-0.0007997509719776386,1.4426211459063458,1.4407495233869363,-0.0018716225194095326,-0.001297376324144799,0.9533898667394832,0.9519962021927826,-0.0013936645467006459,-0.001461799202320942,,,,,,
6,96,S4,monthly,shared_period,78,78,0.27662644026323224,0.27639939864294005,-0.00022704162029218988,-0.0008207516970400283,0.32230519232954885,0.32189851288341176,-0.0004066794461370926,-0.001261783724915214,0.1588983111232472,0.15866603369879706,-0.00023227742445014465,-0.001461799202321175,1.0,1.0,0.0,2.4659319107496693,2.4652711262280107,-0.0006607845216586306
