measurement_interval,section,interval_start,interval_end,n_months_reference,reference_endpoint_error,reference_fold_count,n_months_reduced,reduced_endpoint_error,reference_absolute_endpoint_error,reduced_absolute_endpoint_error,absolute_error_difference
6,S3,2015-05-01,2015-11-01,6,-0.5704468368223491,1,6,-1.176806361376349,0.5704468368223491,1.176806361376349,0.606359524554
6,S4,2015-05-01,2015-11-01,6,0.8937976399816306,1,6,2.298115128604754,0.8937976399816306,2.298115128604754,1.4043174886231236
6,S5,2015-05-01,2015-11-01,6,-1.4400050677480074,1,6,0.1201934135811175,1.4400050677480074,0.1201934135811175,-1.3198116541668898
6,S6,2015-05-01,2015-11-01,6,-2.656020793623308,1,6,-2.6644937479250075,2.656020793623308,2.6644937479250075,0.008472954301699698
6,S1,2015-11-01,2016-05-01,6,-1.0357837195450925,1,6,-1.0122379152717675,1.0357837195450925,1.0122379152717675,-0.023545804273324977
6,S2,2015-11-01,2016-05-01,6,1.1682837582914773,1,6,1.233709065976864,1.1682837582914773,1.233709065976864,0.06542530768538657
6,S3,2015-11-01,2016-05-01,6,-0.4204074964466929,1,6,-0.4093623702975879,0.4204074964466929,0.4093623702975879,-0.011045126149105022
6,S4,2015-11-01,2016-05-01,6,1.1374650032080393,1,6,-0.6071454389406576,1.1374650032080393,0.6071454389406576,-0.5303195642673817
6,S5,2015-11-01,2016-05-01,6,-1.2245349542335529,1,6,-0.3825551197768712,1.2245349542335529,0.3825551197768712,-0.8419798344566817
6,S6,2015-11-01,2016-05-01,6,-2.1777973291818284,1,6,-1.878243270636899,2.1777973291818284,1.878243270636899,-0.29955405854492945
6,S1,2016-05-01,2016-11-01,6,-0.6289475039181847,1,6,-0.5774114326961066,0.6289475039181847,0.5774114326961066,-0.05153607122207804
6,S2,2016-05-01,2016-11-01,6,-0.30952069619027484,1,6,-0.704833020853112,0.30952069619027484,0.704833020853112,0.3953123246628371
6,S3,2016-05-01,2016-11-01,6,-0.9689255114552353,1,6,-1.3172701994438984,0.9689255114552353,1.3172701994438984,0.34834468798866314
6,S4,2016-05-01,2016-11-01,6,-1.2841104580328124,1,6,-0.1666010187303255,1.2841104580328124,0.1666010187303255,-1.117509439302487
6,S5,2016-05-01,2016-11-01,6,0.14360529953039194,1,6,0.7891566613655416,0.14360529953039194,0.7891566613655416,0.6455513618351497
6,S6,2016-05-01,2016-11-01,6,-1.3954372316057255,1,6,-0.7396147449084323,1.3954372316057255,0.7396147449084323,-0.6558224866972933
6,S1,2016-11-01,2017-05-01,6,-0.578403579388764,1,6,-0.7449151871329645,0.578403579388764,0.7449151871329645,0.16651160774420048
